,thumb_raw_signal,index_raw_signal,middle_raw_signal,thumb_normalized_signal,index_normalized_signal,middle_normalized_signal,thumb_label,index_label,middle_label
134,-0.00451,0.000709,-0.00376,-0.0035135135135134776,0.0017107107107108277,-0.0037599999999999856,0.0,0.0,0.0
135,-0.00439,0.000706,-0.00366,-0.0033933933933933957,0.001707707707707895,-0.0036599999999999966,0.0,0.0,0.0
136,-0.00435,0.000712,-0.00365,-0.0033533533533532944,0.0017137137137137604,-0.003650000000000042,0.0,0.0,0.0
137,-0.0044,0.000722,-0.00373,-0.0034034034034033933,0.0017237237237235359,-0.003730000000000011,0.0,0.0,0.0
138,-0.00454,0.000732,-0.00391,-0.0035435435435435814,0.0017337337337337555,-0.003909999999999969,0.0,0.0,0.0
139,-0.00474,0.000736,-0.00414,-0.003743743743743755,0.0017377377377378878,-0.0041400000000000325,0.0,0.0,0.0
140,-0.00497,0.000731,-0.0044,-0.003973973973974032,0.001732732732732778,-0.0043999999999999595,0.0,0.0,0.0
141,-0.0052,0.000714,-0.00465,-0.004204204204204198,0.0017157157157157155,-0.004650000000000043,0.0,0.0,0.0
142,-0.00542,0.000686,-0.00488,-0.004424424424424367,0.0016876876876876779,-0.0048799999999999955,0.0,0.0,0.0
143,-0.00563,0.00065,-0.00507,-0.004634634634634649,0.0016516516516515978,-0.005070000000000019,0.0,0.0,0.0
144,-0.00581,0.000609,-0.00522,-0.004814814814814827,0.00161061061061063,-0.005220000000000002,0.0,0.0,0.0
145,-0.00599,0.000568,-0.00533,-0.004994994994995006,0.00156956956956944,-0.005329999999999946,0.0,0.0,0.0
146,-0.00615,0.000535,-0.00542,-0.005155155155155189,0.0015365365365365147,-0.00541999999999998,0.0,0.0,0.0
147,-0.00629,0.000515,-0.00548,-0.005295295295295266,0.0015165165165165195,-0.00548000000000004,0.0,0.0,0.0
148,-0.00639,0.000512,-0.0055,-0.005395395395395353,0.0015135135135135869,-0.005499999999999949,0.0,0.0,0.0
149,-0.00644,0.000527,-0.00547,-0.0054454454454454515,0.0015285285285284722,-0.005469999999999975,0.0,0.0,0.0
150,-0.00643,0.000557,-0.0054,-0.005435435435435454,0.001558558558558465,-0.00539999999999996,0.0,0.0,0.0
151,-0.00635,0.000597,-0.00528,-0.005355355355355362,0.0015985985985984552,-0.005279999999999951,0.0,0.0,0.0
152,-0.00621,0.000636,-0.00512,-0.005215215215215285,0.00163763763763769,-0.005120000000000013,0.0,0.0,0.0
153,-0.006,0.000668,-0.00491,-0.005005005005005003,0.0016696696696696378,-0.00490999999999997,0.0,0.0,0.0
154,-0.00574,0.000687,-0.00464,-0.004744744744744733,0.0016886886886888774,-0.0046399999999999775,0.0,0.0,0.0
155,-0.00541,0.000691,-0.00433,-0.00441441441441448,0.0016926926926927877,-0.004329999999999945,0.0,0.0,0.0
156,-0.00502,0.000686,-0.00396,-0.00402402402402402,0.0016876876876876779,-0.0039599999999999635,0.0,0.0,0.0
157,-0.0046,0.000681,-0.00356,-0.003603603603603678,0.001682682682682568,-0.0035600000000000076,0.0,0.0,0.0
158,-0.00418,0.000689,-0.00313,-0.0031831831831831137,0.0016906906906906105,-0.003129999999999966,0.0,0.0,0.0
159,-0.00381,0.000719,-0.00273,-0.0028128128128127594,0.0017207207207206032,-0.00273000000000001,0.0,0.0,0.0
160,-0.00355,0.000781,-0.00238,-0.0025525525525526005,0.0017827827827827658,-0.0023800000000000487,0.0,0.0,0.0
161,-0.00343,0.000876,-0.00213,-0.0024324324324325186,0.0018778778778780758,-0.0021299999999999653,0.0,0.0,0.0
162,-0.00347,0.001,-0.00199,-0.002472472472472398,0.002002002002001957,-0.0019900000000000473,0.0,0.0,0.0
163,-0.00365,0.00115,-0.00194,-0.0026526526526526872,0.0021521521521521425,-0.0019400000000000528,0.0,0.0,0.0
164,-0.00391,0.00131,-0.00193,-0.002912912912912846,0.0023123123123123257,-0.0019299999999999873,0.0,0.0,0.0
165,-0.00417,0.00147,-0.00191,-0.003173173173173227,0.002472472472472509,-0.0019099999999999673,0.0,0.0,0.0
166,-0.00438,0.00162,-0.00183,-0.003383383383383398,0.0026226226226224725,-0.0018299999999999983,0.0,0.0,0.0
167,-0.00448,0.00175,-0.00166,-0.003483483483483485,0.002752752752752663,-0.0016599999999999948,0.0,0.0,0.0
168,-0.00444,0.00185,-0.00139,-0.0034434434434434946,0.0028528528528528607,-0.0013900000000000023,0.0,0.0,0.0
169,-0.00428,0.00193,-0.00105,-0.0032832832832832004,0.0029329329329328413,-0.0010499999999999954,0.0,0.0,0.0
170,-0.00404,0.00197,-0.000688,-0.0030430430430430366,0.0029729729729730536,-0.0006880000000000219,0.0,0.0,0.0
171,-0.00377,0.00198,-0.000356,-0.002772772772772769,0.002982982982983051,-0.00035600000000002296,0.0,0.0,0.0
172,-0.00354,0.00196,-0.000104,-0.002542542542542492,0.002962962962962834,-0.00010399999999999299,0.0,0.0,0.0
173,-0.00339,0.00191,2.46e-05,-0.0023923923923924173,0.002912912912913068,2.4599999999930233e-05,0.0,0.0,0.0
174,-0.00335,0.00183,1.26e-05,-0.002352352352352316,0.0028328328328328656,1.2600000000029254e-05,0.0,0.0,0.0
175,-0.00344,0.00173,-0.000141,-0.002442442442442405,0.002732732732732668,-0.00014099999999994672,0.0,0.0,0.0
176,-0.00366,0.00162,-0.000419,-0.002662662662662685,0.0026226226226224725,-0.0004189999999999472,0.0,0.0,0.0
177,-0.00397,0.00151,-0.000789,-0.0029729729729730536,0.002512512512512499,-0.0007890000000000397,0.0,0.0,0.0
178,-0.00435,0.0014,-0.00121,-0.0033533533533532944,0.002402402402402526,-0.0012100000000000444,0.0,0.0,0.0
179,-0.00474,0.0013,-0.00163,-0.003743743743743755,0.002302302302302328,-0.0016300000000000203,0.0,0.0,0.0
180,-0.0051,0.00122,-0.002,-0.0041041041041041115,0.0022222222222221255,-0.0020000000000000018,0.0,0.0,0.0
181,-0.00537,0.00115,-0.00229,-0.004374374374374379,0.0021521521521521425,-0.0022900000000000142,0.0,0.0,0.0
182,-0.00553,0.0011,-0.00246,-0.004534534534534562,0.0021021021021021546,-0.0024600000000000177,0.0,0.0,0.0
